Timestamp,Vibration_X,Vibration_Y,Vibration_Z,Magnitude,Aux1,Aux2,Aux3,Raw_Data1,Raw_Data2,Raw_Data3,Raw_Extra1,Raw_Extra2,Raw_Extra3
2025-11-05 14:37:52.961,39.0,31.0,7.0,50.309044912421065,55,0,150,39,31,7,55,0,150
2025-11-05 14:37:53.076,84.0,44.0,22.0,97.34474818910365,48,0,232,84,44,22,48,0,232
2025-11-05 14:37:53.136,14.0,51.0,17.0,55.5517776493246,139,0,209,14,51,17,139,0,209
2025-11-05 14:37:53.256,85.0,32.0,46.0,101.80864403379509,66,0,252,85,32,46,66,0,252
2025-11-05 14:37:53.345,6.0,32.0,5.0,32.93933818400121,205,0,136,6,32,5,205,0,136
2025-11-05 14:37:53.469,35.0,36.0,8.0,50.84289527554464,71,0,142,35,36,8,71,0,142
2025-11-05 14:37:53.558,69.0,38.0,23.0,82.06095295571457,71,0,45,69,38,23,71,0,45
2025-11-05 14:37:53.676,27.0,30.0,27.0,48.55924216871593,123,1,246,27,30,27,123,1,246
2025-11-05 14:37:53.736,44.0,10.0,54.0,70.37044834303673,23,1,195,44,10,54,23,1,195
2025-11-05 14:37:53.858,26.0,56.0,14.0,63.30876716537765,167,0,163,26,56,14,167,0,163
2025-11-05 14:37:53.946,42.0,8.0,18.0,46.389654018972806,94,0,149,42,8,18,94,0,149
2025-11-05 14:37:54.066,82.0,9.0,41.0,92.11948762341224,42,0,224,82,9,41,42,0,224
2025-11-05 14:37:54.158,19.0,4.0,11.0,22.315913604421397,44,0,121,19,4,11,44,0,121
2025-11-05 14:37:54.276,20.0,11.0,25.0,33.85262175962151,152,0,168,20,11,25,152,0,168
2025-11-05 14:37:54.369,57.0,34.0,19.0,69.03622237637282,132,0,208,57,34,19,132,0,208
2025-11-05 14:37:54.486,6.0,15.0,4.0,16.64331697709324,172,0,163,6,15,4,172,0,163
2025-11-05 14:37:54.546,36.0,9.0,17.0,40.8166632639171,21,0,140,36,9,17,21,0,140
2025-11-05 14:37:54.667,33.0,54.0,14.0,64.81512169239521,118,1,110,33,54,14,118,1,110
2025-11-05 14:37:54.758,53.0,65.0,9.0,84.35045939412541,29,0,82,53,65,9,29,0,82
2025-11-05 14:37:54.877,14.0,15.0,1.0,20.54263858417414,156,0,158,14,15,1,156,0,158
2025-11-05 14:37:54.966,15.0,2.0,3.0,15.427248620541512,54,0,101,15,2,3,54,0,101
2025-11-05 14:37:55.086,32.0,8.0,10.0,34.46737587922817,45,0,72,32,8,10,45,0,72
2025-11-05 14:37:55.146,25.0,20.0,9.0,33.25657829663178,110,0,77,25,20,9,110,0,77
2025-11-05 14:37:55.267,51.0,11.0,52.0,73.66138744281159,226,0,75,51,11,52,226,0,75
2025-11-05 14:37:55.357,5.0,16.0,3.0,17.029386365926403,51,0,22,5,16,3,51,0,22
2025-11-05 14:37:55.476,4.0,18.0,9.0,20.518284528683193,20,0,45,4,18,9,20,0,45
2025-11-05 14:37:55.567,24.0,16.0,11.0,30.870698080866262,148,0,84,24,16,11,148,0,84
2025-11-05 14:37:55.686,5.0,41.0,20.0,45.89117562233506,180,0,125,5,41,20,180,0,125
2025-11-05 14:37:55.775,48.0,21.0,20.0,56.08029957123981,48,0,79,48,21,20,48,0,79
2025-11-05 14:37:55.895,12.0,10.0,21.0,26.1725046566048,245,0,113,12,10,21,245,0,113
2025-11-05 14:37:55.955,34.0,26.0,40.0,58.58327406350724,19,1,6,34,26,40,19,1,6
2025-11-05 14:37:56.076,20.0,33.0,32.0,50.12983143797713,229,0,97,20,33,32,229,0,97
2025-11-05 14:37:56.167,15.0,34.0,20.0,42.20189569201838,132,0,120,15,34,20,132,0,120
2025-11-05 14:37:56.286,42.0,49.0,15.0,66.25707509390978,27,0,69,42,49,15,27,0,69
2025-11-05 14:37:56.376,4.0,7.0,21.0,22.494443758403985,30,0,251,4,7,21,30,0,251
2025-11-05 14:37:56.499,70.0,47.0,12.0,85.16454661418682,189,0,143,70,47,12,189,0,143
2025-11-05 14:37:56.558,39.0,15.0,17.0,45.110974274559844,149,1,25,39,15,17,149,1,25
2025-11-05 14:37:56.675,7.0,74.0,10.0,75.0,157,0,36,7,74,10,157,0,36
2025-11-05 14:37:56.767,15.0,46.0,21.0,52.744667976962376,86,0,122,15,46,21,86,0,122
2025-11-05 14:37:56.885,43.0,76.0,22.0,90.0499861188218,146,1,2,43,76,22,146,1,2
2025-11-05 14:37:56.975,12.0,21.0,42.0,48.46648326421054,77,0,156,12,21,42,77,0,156
2025-11-05 14:37:57.097,1.0,5.0,35.0,35.369478367654786,140,2,127,1,5,35,140,2,127
2025-11-05 14:37:57.191,4.0,12.0,3.0,13.0,125,0,8,4,12,3,125,0,8
2025-11-05 14:37:57.306,3.0,2.0,1.0,3.7416573867739413,30,0,23,3,2,1,30,0,23
2025-11-05 14:37:57.367,0.0,0.0,0.0,0.0,1,0,4,0,0,0,1,0,4
2025-11-05 14:37:57.486,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0
2025-11-05 14:37:57.576,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,1
2025-11-05 14:37:57.697,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,1
2025-11-05 14:37:57.786,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2025-11-05 14:37:57.905,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2025-11-05 14:37:57.967,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2025-11-05 14:37:58.087,0.0,1.0,0.0,1.0,2,0,1,0,1,0,2,0,1
2025-11-05 14:37:58.176,0.0,0.0,0.0,0.0,2,0,1,0,0,0,2,0,1
2025-11-05 14:37:58.296,0.0,1.0,0.0,1.0,3,0,0,0,1,0,3,0,0
2025-11-05 14:37:58.385,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0
2025-11-05 14:37:58.507,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,1
2025-11-05 14:37:58.596,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2025-11-05 14:37:58.716,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2025-11-05 14:37:58.775,0.0,1.0,0.0,1.0,4,0,1,0,1,0,4,0,1
2025-11-05 14:37:58.896,0.0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,2
2025-11-05 14:37:58.986,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1
2025-11-05 14:37:59.106,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2025-11-05 14:37:59.197,0.0,0.0,0.0,0.0,1,0,2,0,0,0,1,0,2
2025-11-05 14:37:59.316,2.0,2.0,1.0,3.0,17,0,3,2,2,1,17,0,3
2025-11-05 14:37:59.375,0.0,0.0,1.0,1.0,3,0,5,0,0,1,3,0,5
2025-11-05 14:37:59.496,1.0,1.0,0.0,1.4142135623730951,1,0,2,1,1,0,1,0,2
2025-11-05 14:37:59.586,0.0,0.0,0.0,0.0,1,0,2,0,0,0,1,0,2
2025-11-05 14:37:59.706,0.0,0.0,1.0,1.0,2,0,2,0,0,1,2,0,2
2025-11-05 14:37:59.796,0.0,0.0,0.0,0.0,1,0,6,0,0,0,1,0,6
2025-11-05 14:37:59.917,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0
2025-11-05 14:38:00.005,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0
2025-11-05 14:38:00.126,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2025-11-05 14:38:00.185,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2025-11-05 14:38:00.305,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2025-11-05 14:38:00.397,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2025-11-05 14:38:00.515,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2025-11-05 14:38:00.606,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2025-11-05 14:38:00.728,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2025-11-05 14:38:00.786,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2025-11-05 14:38:00.907,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2025-11-05 14:38:00.998,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2025-11-05 14:38:01.116,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2025-11-05 14:38:01.206,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2025-11-05 14:38:01.335,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2025-11-05 14:38:01.416,74.0,12.0,32.0,81.51073548925933,240,0,179,74,12,32,240,0,179
2025-11-05 14:38:01.536,32.0,51.0,21.0,63.76519426771944,125,0,48,32,51,21,125,0,48
2025-11-05 14:38:01.599,4.0,5.0,5.0,8.12403840463596,38,0,109,4,5,5,38,0,109
2025-11-05 14:38:01.716,15.0,9.0,6.0,18.49324200890693,91,0,14,15,9,6,91,0,14
2025-11-05 14:38:01.807,11.0,0.0,12.0,16.278820596099706,35,0,17,11,0,12,35,0,17
2025-11-05 14:38:01.928,31.0,10.0,12.0,34.713109915419565,48,0,20,31,10,12,48,0,20
2025-11-05 14:38:02.016,16.0,19.0,5.0,25.337718918639855,8,1,18,16,19,5,8,1,18
2025-11-05 14:38:02.136,10.0,9.0,5.0,14.352700094407323,49,0,37,10,9,5,49,0,37
2025-11-05 14:38:02.206,8.0,1.0,9.0,12.083045973594572,102,0,30,8,1,9,102,0,30
2025-11-05 14:38:02.316,16.0,4.0,6.0,17.549928774784245,217,0,50,16,4,6,217,0,50
2025-11-05 14:38:02.406,2.0,7.0,2.0,7.54983443527075,37,0,204,2,7,2,37,0,204
2025-11-05 14:38:02.556,14.0,9.0,4.0,17.11724276862369,69,0,248,14,9,4,69,0,248
2025-11-05 14:38:02.616,14.0,11.0,15.0,23.280893453645632,170,0,33,14,11,15,170,0,33
2025-11-05 14:38:02.736,21.0,5.0,20.0,29.427877939124322,82,0,144,21,5,20,82,0,144
2025-11-05 14:38:02.826,7.0,8.0,2.0,10.816653826391969,27,0,224,7,8,2,27,0,224
2025-11-05 14:38:02.946,27.0,10.0,23.0,36.851051545376556,19,0,72,27,10,23,19,0,72
2025-11-05 14:38:03.005,29.0,2.0,4.0,29.34280150224242,34,0,159,29,2,4,34,0,159
2025-11-05 14:38:03.126,14.0,4.0,5.0,15.394804318340652,114,0,100,14,4,5,114,0,100
2025-11-05 14:38:03.215,16.0,2.0,2.0,16.24807680927192,53,0,176,16,2,2,53,0,176
2025-11-05 14:38:03.335,2.0,22.0,36.0,42.23742416388575,251,0,55,2,22,36,251,0,55
2025-11-05 14:38:03.425,3.0,3.0,11.0,11.789826122551595,26,0,17,3,3,11,26,0,17
2025-11-05 14:38:03.546,5.0,1.0,3.0,5.916079783099616,35,0,35,5,1,3,35,0,35
2025-11-05 14:38:03.607,2.0,8.0,3.0,8.774964387392123,27,0,34,2,8,3,27,0,34
2025-11-05 14:38:03.726,5.0,6.0,9.0,11.916375287812984,49,0,10,5,6,9,49,0,10
2025-11-05 14:38:03.816,2.0,1.0,7.0,7.3484692283495345,49,0,98,2,1,7,49,0,98
2025-11-05 14:38:03.936,0.0,1.0,3.0,3.1622776601683795,10,0,42,0,1,3,10,0,42
2025-11-05 14:38:04.029,4.0,3.0,6.0,7.810249675906654,14,0,36,4,3,6,14,0,36
2025-11-05 14:38:04.146,3.0,0.0,3.0,4.242640687119285,26,0,53,3,0,3,26,0,53
2025-11-05 14:38:04.235,1.0,1.0,2.0,2.449489742783178,6,0,17,1,1,2,6,0,17
2025-11-05 14:38:04.356,0.0,0.0,2.0,2.0,5,0,14,0,0,2,5,0,14
2025-11-05 14:38:04.415,0.0,0.0,0.0,0.0,3,0,31,0,0,0,3,0,31
2025-11-05 14:38:04.536,1.0,2.0,2.0,3.0,7,0,7,1,2,2,7,0,7
2025-11-05 14:38:04.628,3.0,0.0,5.0,5.830951894845301,28,0,30,3,0,5,28,0,30
2025-11-05 14:38:04.746,4.0,0.0,2.0,4.47213595499958,4,0,20,4,0,2,4,0,20
2025-11-05 14:38:04.836,0.0,0.0,1.0,1.0,7,0,8,0,0,1,7,0,8
2025-11-05 14:38:04.957,1.0,0.0,1.0,1.4142135623730951,6,0,13,1,0,1,6,0,13
2025-11-05 14:38:05.016,1.0,0.0,1.0,1.4142135623730951,5,0,6,1,0,1,5,0,6
2025-11-05 14:38:05.136,2.0,1.0,1.0,2.449489742783178,25,0,32,2,1,1,25,0,32
2025-11-05 14:38:05.226,12.0,4.0,16.0,20.396078054371138,62,0,61,12,4,16,62,0,61
2025-11-05 14:38:05.346,1.0,1.0,1.0,1.7320508075688772,99,0,68,1,1,1,99,0,68
2025-11-05 14:38:05.436,2.0,1.0,0.0,2.23606797749979,45,0,38,2,1,0,45,0,38
2025-11-05 14:38:05.556,0.0,1.0,1.0,1.4142135623730951,11,0,20,0,1,1,11,0,20
2025-11-05 14:38:05.646,2.0,1.0,1.0,2.449489742783178,10,0,20,2,1,1,10,0,20
2025-11-05 14:38:05.767,0.0,0.0,0.0,0.0,2,0,4,0,0,0,2,0,4
2025-11-05 14:38:05.829,2.0,1.0,2.0,3.0,14,0,8,2,1,2,14,0,8
2025-11-05 14:38:05.946,2.0,0.0,1.0,2.23606797749979,2,0,3,2,0,1,2,0,3
2025-11-05 14:38:06.066,7.0,8.0,8.0,13.30413469565007,66,0,28,7,8,8,66,0,28
2025-11-05 14:38:06.156,0.0,0.0,1.0,1.0,2,0,0,0,0,1,2,0,0
2025-11-05 14:38:06.247,0.0,0.0,1.0,1.0,1,0,9,0,0,1,1,0,9
2025-11-05 14:38:06.367,2.0,2.0,2.0,3.4641016151377544,4,0,15,2,2,2,4,0,15
2025-11-05 14:38:06.428,6.0,8.0,11.0,14.866068747318506,60,0,116,6,8,11,60,0,116
2025-11-05 14:38:06.546,12.0,8.0,11.0,18.138357147217054,27,0,61,12,8,11,27,0,61
2025-11-05 14:38:06.636,8.0,8.0,3.0,11.704699910719626,3,0,43,8,8,3,3,0,43
2025-11-05 14:38:06.766,5.0,2.0,2.0,5.744562646538029,44,0,104,5,2,2,44,0,104
2025-11-05 14:38:06.846,5.0,1.0,2.0,5.477225575051661,44,0,8,5,1,2,44,0,8
2025-11-05 14:38:06.967,11.0,5.0,1.0,12.12435565298214,7,0,14,11,5,1,7,0,14
2025-11-05 14:38:07.058,7.0,11.0,5.0,13.96424004376894,44,0,58,7,11,5,44,0,58
2025-11-05 14:38:07.209,3.0,2.0,2.0,4.123105625617661,27,0,25,3,2,2,27,0,25
2025-11-05 14:38:07.235,4.0,1.0,2.0,4.58257569495584,7,0,9,4,1,2,7,0,9
2025-11-05 14:38:07.358,1.0,0.0,0.0,1.0,13,0,9,1,0,0,13,0,9
2025-11-05 14:38:07.446,1.0,1.0,0.0,1.4142135623730951,6,0,7,1,1,0,6,0,7
2025-11-05 14:38:07.567,0.0,0.0,0.0,0.0,9,0,0,0,0,0,9,0,0
2025-11-05 14:38:07.660,1.0,0.0,1.0,1.4142135623730951,15,0,3,1,0,1,15,0,3
2025-11-05 14:38:07.776,1.0,1.0,1.0,1.7320508075688772,14,0,10,1,1,1,14,0,10
2025-11-05 14:38:07.835,0.0,0.0,0.0,0.0,19,0,16,0,0,0,19,0,16
2025-11-05 14:38:07.958,3.0,0.0,0.0,3.0,9,0,7,3,0,0,9,0,7
2025-11-05 14:38:08.045,0.0,0.0,0.0,0.0,3,0,6,0,0,0,3,0,6
2025-11-05 14:38:08.167,2.0,0.0,1.0,2.23606797749979,13,0,14,2,0,1,13,0,14
2025-11-05 14:38:08.259,2.0,0.0,3.0,3.605551275463989,6,0,3,2,0,3,6,0,3
2025-11-05 14:38:08.376,0.0,0.0,1.0,1.0,1,0,17,0,0,1,1,0,17
